,0
669,5940
670,5949
671,5954
672,5957
673,5961
674,5974
675,5976
676,5984
677,6005
678,6069
679,6147
680,6149
681,6152
682,6168
683,6169
684,6173
685,6174
686,6200
687,6221
688,6323
689,6331
690,6355
691,6394
692,6417
693,6422
694,6473
695,6483
696,6498
697,6501
698,6512
699,6525
700,6535
701,6546
702,6669
703,6689
704,6725
705,6754
706,6792
707,6837
708,6857
709,6952
710,7014
711,7146
712,7221
713,7230
714,7239
715,7246
716,7251
717,7276
718,7277
719,7351
720,7356
721,7426
722,7434
723,7436
724,7465
725,7468
726,7471
727,7545
728,7548
729,7552
730,7587
731,7595
732,7653
733,7654
734,7659
735,7685
736,7758
737,7781
738,7804
739,7849
740,7921
741,7923
742,7930
743,7963
744,8027
745,8075
746,8104
747,8192
748,8229
749,8258
750,8263
751,8327
752,8339
753,8382
754,8457
755,8484
756,8574
757,8645
758,8674
759,8682
760,8685
761,8743
762,8752
763,8791
764,8804
765,8841
766,8845
767,8881
768,8953
769,8964
770,9037
771,9048
772,9088
773,9099
774,9100
775,9104
776,9118
777,9164
778,9235
779,9248
780,9254
781,9256
782,9270
783,9280
784,9372
785,9382
786,9400
787,9445
788,9471
789,9509
790,9550
791,9573
792,9666
793,9667
794,9669
795,9677
796,9717
797,9772
798,9792
799,9821
800,9913
801,9918
802,9929
803,9931
804,9975
805,9979
806,10020
807,10023
808,10025
809,10031
810,10033
811,10063
812,10123
813,10132
814,10148
815,10161
816,10171
817,10208
818,10210
819,10243
820,10281
821,10283
822,10290
823,10312
824,10317
825,10330
826,10341
827,10348
828,10354
829,10376
830,10396
831,10404
832,10411
833,10414
834,10415
835,10427
836,10433
837,10493
838,10494
839,10529
840,10601
841,10610
842,10612
843,10649
844,10658
845,10677
846,10689
847,10696
848,10701
849,10740
850,10831
851,10873
852,10884
853,10897
854,10921
855,10926
856,10955
857,10967
858,10983
859,10997
860,11063
861,11118
862,11126
863,11145
864,11146
865,11162
866,11163
867,11170
868,11177
869,11206
870,11207
871,11213
872,11264
873,11276
874,11280
875,11387
876,11391
877,11436
878,11458
879,11486
880,11502
881,11553
882,11577
883,11588
884,11603
885,11630
886,11651
887,11658
888,11673
889,11681
890,11688
891,11690
892,11697
893,11704
894,11719
895,11722
896,11737
897,11772
898,11775
899,11787
900,11790
901,11800
902,11828
903,11829
904,11844
905,11845
906,11863
907,11870
908,11876
909,11891
910,11922
911,11927
912,11947
913,11994
914,11996
915,12001
916,12013
917,12032
918,12043
919,12052
920,12102
921,12122
922,12129
923,12131
924,12146
925,12165
926,12176
927,12190
928,12198
929,12201
930,12202
931,12207
932,12223
933,12234
934,12236
935,12264
936,12266
937,12282
938,12289
939,12291
940,12295
941,12321
942,12335
943,12336
944,12338
945,12341
946,12374
947,12425
948,12443
949,12489
950,12505
951,12510
952,12514
953,12516
954,12520
955,12523
956,12525
957,12526
958,12530
959,12537
960,12538
961,12548
962,12549
963,12550
964,12553
965,12556
966,12562
967,12565
968,12567
969,12580
970,12599
971,12619
972,12624
973,12625
974,12631
975,12634
976,12652
977,12653
978,12654
979,12663
980,12664
981,12666
982,12667
983,12668
984,12672
985,12674
986,12679
987,12681
988,12683
989,12686
990,12689
991,12690
992,12693
993,12694
994,12696
995,12717
996,12734
997,12741
998,12753
999,12757
1000,12775
1001,12797
1002,12805
1003,12813
1004,12818
1005,12821
1006,12824
1007,12825
1008,12826
1009,12857
1010,12882
1011,12940
1012,12950
1013,12958
1014,12977
1015,12989
1016,13017
1017,13022
1018,13031
1019,13042
1020,13044
1021,13074
1022,13075
1023,13097
1024,13105
1025,13130
1026,13140
1027,13143
1028,13173
1029,13184
1030,13186
1031,13193
1032,13198
1033,13230
1034,13250
1035,13262
1036,13266
1037,13271
1038,13281
1039,13286
1040,13290
1041,13322
1042,13329
1043,13333
1044,13340
1045,13347
1046,13365
1047,13369
1048,13377
1049,13379
1050,13382
1051,13383
1052,13384
1053,13390
1054,13399
1055,13418
1056,13419
1057,13447
1058,13477
1059,13478
1060,13488
1061,13503
1062,13602
1063,13633
1064,13638
1065,13640
1066,13741
1067,13776
1068,13811
1069,13812
1070,13849
1071,13858
1072,13868
1073,13882
1074,13903
1075,13913
1076,13914
1077,13925
1078,13950
1079,13955
1080,13963
1081,13970
1082,13972
1083,13973
1084,14022
1085,14037
1086,14066
1087,14067
1088,14071
1089,14077
1090,14083
1091,14113
1092,14150
1093,14219
1094,14254
1095,14255
1096,14256
1097,14268
1098,14284
1099,14290
1100,14292
1101,14300
1102,14303
1103,14304
1104,14320
1105,14323
1106,14326
1107,14332
1108,14335
1109,14337
1110,14343
1111,14354
1112,14358
1113,14411
1114,14418
1115,14420
1116,14428
1117,14429
1118,14441
1119,14452
1120,14483
1121,14521
1122,14522
1123,14545
1124,14547
1125,14572
1126,14579
1127,14590
1128,14602
1129,14604
1130,14605
1131,14608
1132,14609
1133,14610
1134,14612
1135,14617
1136,14627
1137,14631
1138,14632
1139,14648
1140,14654
1141,14658
1142,14666
1143,14671
1144,14675
1145,14688
1146,14697
1147,14719
1148,14733
1149,14740
1150,14765
1151,14766
1152,14773
1153,14774
1154,14777
1155,14781
1156,14783
1157,14790
1158,14819
1159,14824
1160,14826
1161,14828
1162,14829
1163,14854
1164,14861
1165,14862
1166,14864
1167,14877
1168,14912
1169,14936
1170,14941
1171,14956
1172,14983
1173,14996
1174,15027
1175,15035
1176,15050
1177,15057
1178,15063
1179,15064
1180,15067
1181,15068
1182,15074
1183,15079
1184,15083
1185,15088
1186,15094
1187,15102
1188,15103
1189,15108
1190,15111
1191,15137
1192,15149
1193,15197
1194,15200
1195,15203
1196,15208
1197,15211
1198,15214
1199,15215
1200,15223
1201,15224
1202,15227
1203,15338
1204,15344
1205,15348
1206,15351
1207,15352
1208,15358
1209,15360
1210,15371
1211,15372
1212,15374
1213,15385
1214,15387
1215,15396
1216,15397
1217,15402
1218,15409
1219,15414
1220,15416
1221,15417
1222,15419
1223,15431
1224,15433
1225,15436
1226,15437
1227,15442
1228,15443
1229,15444
1230,15445
1231,15449
1232,15450
1233,15451
1234,15457
1235,15478
1236,15484
1237,15486
1238,15521
1239,15522
1240,15526
1241,15533
1242,15541
1243,15567
1244,15580
1245,15600
1246,15605
1247,15625
1248,15629
1249,15630
1250,15639
1251,15647
1252,15668
1253,15673
1254,15674
1255,15683
1256,15689
1257,15692
1258,15709
1259,15745
1260,15748
1261,15754
1262,15757
1263,15764
1264,15766
1265,15775
1266,15792
1267,15794
1268,15807
1269,15811
1270,15815
1271,15825
1272,15827
1273,15843
1274,15850
1275,15859
1276,15872
1277,15901
1278,15920
1279,15928
1280,15933
1281,15934
1282,15936
1283,15949
1284,15950
1285,15953
1286,15961
1287,15962
1288,15982
1289,16001
1290,16011
1291,16018
1292,16055
1293,16056
1294,16065
1295,16067
1296,16070
1297,16076
1298,16086
1299,16112
1300,16122
1301,16127
1302,16133
1303,16173
1304,16177
1305,16179
1306,16183
1307,16192
1308,16203
1309,16218
1310,16223
1311,16224
1312,16225
1313,16231
1314,16235
1315,16238
1316,16241
1317,16247
1318,16262
1319,16279
1320,16281
1321,16288
1322,16292
1323,16294
1324,16305
1325,16308
1326,16319
1327,16321
1328,16354
1329,16369
1330,16391
1331,16392
1332,16397
1333,16403
1334,16408
1335,16409
1336,16438
1337,16450
1338,16453
1339,16463
1340,16464
1341,16478
1342,16482
