Validation_Set,Topics,Alpha,Beta,Coherence
20% Corpus,5,0.9099999999999999,0.9099999999999999,0.7003909533589232
20% Corpus,5,0.9099999999999999,symmetric,0.6134510527801755
20% Corpus,5,asymmetric,0.01,0.4864939468739896
20% Corpus,5,asymmetric,0.31,0.5944467084980447
20% Corpus,5,asymmetric,0.61,0.5049591524885151
20% Corpus,5,asymmetric,0.9099999999999999,0.46058748320248116
20% Corpus,5,asymmetric,symmetric,0.3877364437212377
20% Corpus,6,0.01,0.01,0.4830248790153025
20% Corpus,6,0.01,0.31,0.6119609129709817
20% Corpus,6,0.01,0.61,0.5525175504314287
20% Corpus,6,0.01,0.9099999999999999,0.5220051581672521
20% Corpus,6,0.01,symmetric,0.402791571157519
20% Corpus,6,0.31,0.01,0.5879309197728725
20% Corpus,6,0.31,0.31,0.5458176712461449
20% Corpus,6,0.31,0.61,0.5674419607392874
20% Corpus,6,0.31,0.9099999999999999,0.5522128636955603
20% Corpus,6,0.31,symmetric,0.3709309144246817
20% Corpus,6,0.61,0.01,0.5816930945332576
20% Corpus,6,0.61,0.31,0.44136282587967485
20% Corpus,6,0.61,0.61,0.6149861514979402
20% Corpus,6,0.61,0.9099999999999999,0.6682418978270634
20% Corpus,6,0.61,symmetric,0.5387861009765942
20% Corpus,6,0.9099999999999999,0.01,0.5794979383896209
20% Corpus,6,0.9099999999999999,0.31,0.4772908920443681
20% Corpus,6,0.9099999999999999,0.61,0.6224560669029268
20% Corpus,6,0.9099999999999999,0.9099999999999999,0.7165195566582422
20% Corpus,6,0.9099999999999999,symmetric,0.5946644293907752
20% Corpus,6,asymmetric,0.01,0.5602574862206088
20% Corpus,6,asymmetric,0.31,0.5611922679716826
20% Corpus,6,asymmetric,0.61,0.4944738771920014
20% Corpus,6,asymmetric,0.9099999999999999,0.5963439853213751
20% Corpus,6,asymmetric,symmetric,0.43873225716787906
20% Corpus,7,0.01,0.01,0.5188503095571803
20% Corpus,7,0.01,0.31,0.6125016468638453
20% Corpus,7,0.01,0.61,0.5313427239790615
20% Corpus,7,0.01,0.9099999999999999,0.556085433338175
20% Corpus,7,0.01,symmetric,0.45522539544276175
20% Corpus,7,0.31,0.01,0.5633828934731279
20% Corpus,7,0.31,0.31,0.5597690598868449
20% Corpus,7,0.31,0.61,0.5132693012455396
20% Corpus,7,0.31,0.9099999999999999,0.5510953261137425
20% Corpus,7,0.31,symmetric,0.4216913909607952
20% Corpus,7,0.61,0.01,0.5740611090305645
20% Corpus,7,0.61,0.31,0.47065840220632393
20% Corpus,7,0.61,0.61,0.6304759178336822
20% Corpus,7,0.61,0.9099999999999999,0.6775261269841245
